ENMO,PacketCounter,TimeStamp
0.0,212,11:28:19.720132
0.0,462,11:28:20.720156
0.0,712,11:28:21.720725
0.0,962,11:28:22.720289
0.0,1212,11:28:23.720333
0.0,1462,11:28:24.720124
0.0,1712,11:28:25.720361
0.0,1962,11:28:26.720363
0.0,2212,11:28:27.710276
0.0,2462,11:28:28.710633
0.0,2712,11:28:29.710110
0.0,2962,11:28:30.710391
0.0,3212,11:28:31.710170
0.0,3462,11:28:32.710247
0.0,3712,11:28:33.710138
0.0,3962,11:28:34.711031
0.0,4212,11:28:35.710558
0.0,4462,11:28:36.710688
0.0,4712,11:28:37.711016
0.0,4962,11:28:38.710608
0.0,5212,11:28:39.710962
0.0,5462,11:28:40.710236
0.0,5712,11:28:41.711067
0.0,5962,11:28:42.710688
0.0,6212,11:28:43.710328
0.0,6462,11:28:44.700980
0.0,6712,11:28:45.700676
0.0,6962,11:28:46.700975
0.0,7212,11:28:47.700298
0.0,7462,11:28:48.710297
0.0,7712,11:28:49.701116
0.0,7962,11:28:50.700969
0.0,8212,11:28:51.700541
0.0,8462,11:28:52.700712
0.0,8712,11:28:53.700333
0.0,8962,11:28:54.700323
0.0,9212,11:28:55.700448
0.0,9462,11:28:56.701277
0.0,9712,11:28:57.700762
0.0,9962,11:28:58.700943
0.0,10212,11:28:59.700449
0.0,10462,11:29:00.700970
0.0,10712,11:29:01.701225
0.0,10962,11:29:02.700466
0.0,11212,11:29:03.690542
0.0,11462,11:29:04.690558
0.0,11712,11:29:05.690437
0.0,11962,11:29:06.690265
0.0,12212,11:29:07.690438
0.0,12462,11:29:08.691319
0.0,12712,11:29:09.690393
0.0,12962,11:29:10.691167
0.0,13212,11:29:11.690701
0.0,13462,11:29:12.701213
0.0,13712,11:29:13.690535
0.0,13962,11:29:14.690138
0.0,14212,11:29:15.690285
0.0,14462,11:29:16.690292
0.0,14712,11:29:17.690243
0.037786487489938736,14962,11:29:18.690346
0.626172661781311,15212,11:29:19.711039
2.152627468109131,15462,11:29:20.700895
2.042069911956787,15712,11:29:21.690796
2.0492258071899414,15962,11:29:22.691246
1.9537893533706665,16212,11:29:23.691214
1.7245577573776245,16462,11:29:24.700071
1.8532658815383911,16712,11:29:25.681221
2.4657626152038574,16962,11:29:26.690917
2.312452793121338,17212,11:29:27.680422
1.9754958152770996,17462,11:29:28.681079
1.1942238807678223,17712,11:29:29.680967
1.4547607898712158,17962,11:29:30.681380
1.4493720531463623,18212,11:29:31.681208
1.3301624059677124,18462,11:29:32.680680
1.6042485237121582,18712,11:29:33.680302
1.598778247833252,18962,11:29:34.680709
1.3636767864227295,19212,11:29:35.680917
1.2447291612625122,19462,11:29:36.681415
1.4297266006469727,19712,11:29:37.670146
0.7073489427566528,19962,11:29:38.670950
1.2682485580444336,20212,11:29:39.671269
1.9838200807571411,20462,11:29:40.691295
2.2691853046417236,20712,11:29:41.681179
1.5549372434616089,20962,11:29:42.690896
1.7109812498092651,21212,11:29:43.701065
1.579342246055603,21462,11:29:44.681139
1.8981167078018188,21712,11:29:45.671275
1.9559730291366577,21962,11:29:46.680326
2.267838716506958,22212,11:29:47.681202
1.799188256263733,22462,11:29:48.691015
1.8422632217407227,22712,11:29:49.671107
1.1276304721832275,22962,11:29:50.670981
1.2370089292526245,23212,11:29:51.670971
1.1940847635269165,23462,11:29:52.671084
1.5533115863800049,23712,11:29:53.671253
1.2145057916641235,23962,11:29:54.660865
0.8371670246124268,24212,11:29:55.660204
1.472333550453186,24462,11:29:56.690290
1.8775869607925415,24712,11:29:57.670180
1.8443267345428467,24962,11:29:58.661302
2.454123020172119,25212,11:29:59.660952
2.8701095581054688,25462,11:30:00.661294
3.443819046020508,25712,11:30:01.661271
3.095541477203369,25962,11:30:02.660791
3.9221014976501465,26212,11:30:03.659980
3.674687385559082,26462,11:30:04.661033
3.667670965194702,26712,11:30:05.661078
3.5466082096099854,26962,11:30:06.661021
3.171609401702881,27212,11:30:07.660846
3.45463490486145,27462,11:30:08.661341
4.341559410095215,27712,11:30:09.660750
4.378998756408691,27962,11:30:10.660206
4.3603315353393555,28212,11:30:11.661327
3.736602783203125,28462,11:30:12.681248
3.8631606101989746,28712,11:30:13.691032
3.769192695617676,28962,11:30:14.661089
3.986981153488159,29212,11:30:15.650973
2.6129860877990723,29462,11:30:16.650884
0.5284267663955688,29712,11:30:17.650809
0.09335275739431381,29962,11:30:18.650914
0.0,30212,11:30:19.650747
0.0,30462,11:30:20.651102
0.0,30712,11:30:21.651264
0.0,30962,11:30:22.650834
0.0,31212,11:30:23.651003
0.0,31462,11:30:24.650971
0.0,31712,11:30:25.651252
0.0,31962,11:30:26.650930
0.0,32212,11:30:27.650853
0.0,32462,11:30:28.650927
0.0,32712,11:30:29.641004
0.0,-32574,11:30:30.640990
0.0,-32324,11:30:31.640915
0.0,-32074,11:30:32.640505
0.0,-31824,11:30:33.641019
0.0,-31574,11:30:34.640922
0.0,-31324,11:30:35.640867
0.0,-31074,11:30:36.640986
0.0,-30824,11:30:37.641159
0.0,-30574,11:30:38.641121
0.0,-30324,11:30:39.641018
0.0,-30074,11:30:40.640909
0.0,-29824,11:30:41.640962
0.0,-29574,11:30:42.640033
0.0,-29324,11:30:43.640924
0.0,-29074,11:30:44.641012
0.0,-28824,11:30:45.640801
0.0,-28574,11:30:46.640887
0.0,-28324,11:30:47.631325
0.0,-28074,11:30:48.631185
0.0,-27824,11:30:49.630918
0.0,-27574,11:30:50.630793
0.0,-27324,11:30:51.630958
0.0,-27074,11:30:52.631104
0.0,-26824,11:30:53.630684
0.0,-26574,11:30:54.630851
0.0,-26324,11:30:55.631118
0.0,-26074,11:30:56.630875
0.0,-25824,11:30:57.630828
0.0,-25574,11:30:58.630993
0.0,-25324,11:30:59.630658
0.0,-25074,11:31:00.630913
0.0,-24824,11:31:01.630650
0.0,-24574,11:31:02.631228
0.0,-24324,11:31:03.631024
0.0,-24074,11:31:04.621122
0.0,-23824,11:31:05.621178
0.0,-23574,11:31:06.621455
0.0,-23324,11:31:07.620989
0.0,-23074,11:31:08.620927
0.0,-22824,11:31:09.621483
0.0,-22574,11:31:10.620839
0.0,-22324,11:31:11.621498
0.0,-22074,11:31:12.620958
0.0,-21824,11:31:13.620808
0.0,-21574,11:31:14.620678
0.0,-21324,11:31:15.620885
0.0,-21074,11:31:16.621182
0.0,-20824,11:31:17.621193
0.0,-20574,11:31:18.620287
